naslov,leto,oskar,stevilo
Taxi to the Dark Side,2007,TRUE,1
Peter & the Wolf,2007,FALSE,0
Peter & the Wolf,2007,TRUE,1
Once,2007,FALSE,0
Once,2007,TRUE,1
Le Mozart des pickpockets,2007,FALSE,0
Le Mozart des pickpockets,2007,TRUE,1
The Counterfeiters (Die Fälscher),2007,FALSE,0
The Counterfeiters (Die Fälscher),2007,TRUE,1
Freeheld,2007,FALSE,0
Freeheld,2007,TRUE,1
The Departed,2006,FALSE,1
The Departed,2006,TRUE,4
Pan's Labyrinth (El laberinto del fauno),2006,FALSE,3
Pan's Labyrinth (El laberinto del fauno),2006,TRUE,3
Dreamgirls,2006,FALSE,6
Dreamgirls,2006,TRUE,2
Little Miss Sunshine,2006,FALSE,2
Little Miss Sunshine,2006,TRUE,2
An Inconvenient Truth,2006,FALSE,0
An Inconvenient Truth,2006,TRUE,2
Babel,2006,FALSE,6
Babel,2006,TRUE,1
The Queen,2006,FALSE,5
The Queen,2006,TRUE,1
Letters from Iwo Jima,2006,FALSE,3
Letters from Iwo Jima,2006,TRUE,1
Pirates of the Caribbean: Dead Man's Chest,2006,FALSE,3
Pirates of the Caribbean: Dead Man's Chest,2006,TRUE,1
The Danish Poet,2006,FALSE,0
The Danish Poet,2006,TRUE,1
Happy Feet,2006,FALSE,0
Happy Feet,2006,TRUE,1
The Last King of Scotland,2006,FALSE,0
The Last King of Scotland,2006,TRUE,1
The Lives of Others (Das Leben der Anderen),2006,FALSE,0
The Lives of Others (Das Leben der Anderen),2006,TRUE,1
Marie Antoinette,2006,FALSE,0
Marie Antoinette,2006,TRUE,1
West Bank Story,2006,FALSE,0
West Bank Story,2006,TRUE,1
The Blood of Yingzhou District,2006,FALSE,0
The Blood of Yingzhou District,2006,TRUE,1
Crash,2005,FALSE,3
Crash,2005,TRUE,3
Brokeback Mountain,2005,FALSE,5
Brokeback Mountain,2005,TRUE,3
Memoirs of a Geisha,2005,FALSE,3
Memoirs of a Geisha,2005,TRUE,3
King Kong,2005,FALSE,1
King Kong,2005,TRUE,3
Capote,2005,FALSE,4
Capote,2005,TRUE,1
Walk the Line,2005,FALSE,4
Walk the Line,2005,TRUE,1
The Constant Gardener,2005,FALSE,3
The Constant Gardener,2005,TRUE,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,FALSE,2
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,TRUE,1
Hustle & Flow,2005,FALSE,1
Hustle & Flow,2005,TRUE,1
Syriana,2005,FALSE,1
Syriana,2005,TRUE,1
March of the Penguins (La Marche de l'empereur),2005,FALSE,0
March of the Penguins (La Marche de l'empereur),2005,TRUE,1
Six Shooter,2005,FALSE,0
Six Shooter,2005,TRUE,1
The Moon and the Son: An Imagined Conversation,2005,FALSE,0
The Moon and the Son: An Imagined Conversation,2005,TRUE,1
A Note of Triumph: The Golden Age of Norman Corwin,2005,FALSE,0
A Note of Triumph: The Golden Age of Norman Corwin,2005,TRUE,1
Tsotsi,2005,FALSE,0
Tsotsi,2005,TRUE,1
Wallace & Gromit: The Curse of the Were-Rabbit,2005,FALSE,0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,TRUE,1
Million Dollar Baby,2004,FALSE,3
Million Dollar Baby,2004,TRUE,4
The Aviator,2004,FALSE,6
The Aviator,2004,TRUE,5
Ray,2004,FALSE,4
Ray,2004,TRUE,2
The Incredibles,2004,FALSE,2
The Incredibles,2004,TRUE,2
Finding Neverland,2004,FALSE,6
Finding Neverland,2004,TRUE,1
Sideways,2004,FALSE,4
Sideways,2004,TRUE,1
Lemony Snicket's A Series of Unfortunate Events,2004,FALSE,3
Lemony Snicket's A Series of Unfortunate Events,2004,TRUE,1
Spider-Man 2,2004,FALSE,2
Spider-Man 2,2004,TRUE,1
Eternal Sunshine of the Spotless Mind,2004,FALSE,1
Eternal Sunshine of the Spotless Mind,2004,TRUE,1
The Motorcycle Diaries,2004,FALSE,1
