naslov,leto,oskar,stevilo
Dead Poets Society,1989,True,1
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,False,0
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,True,1
Dear Basketball,2017,False,0
Dear Basketball,2017,True,1
Dear Diary,1996,False,0
Dear Diary,1996,True,1
Death Becomes Her,1992,False,0
Death Becomes Her,1992,True,1
Death on the Nile,1978,False,0
Death on the Nile,1978,True,1
December 7th,1943,False,0
December 7th,1943,True,1
Declaration of Independence,1938,False,0
Declaration of Independence,1938,True,1
Defending Our Lives,1993,False,0
Defending Our Lives,1993,True,1
Departures,2008,False,0
Departures,2008,True,1
Der Fuehrer's Face,1942,False,0
Der Fuehrer's Face,1942,True,1
Dersu Uzala,1975,False,0
Dersu Uzala,1975,True,1
Desert Victory,1943,False,0
Desert Victory,1943,True,1
Design for Death,1947,False,0
Design for Death,1947,True,1
Designing Woman,1957,False,0
Designing Woman,1957,True,1
Destination Moon,1950,False,1
Destination Moon,1950,True,1
Dick Tracy,1990,False,4
Dick Tracy,1990,True,3
Dirty Dancing,1987,False,0
Dirty Dancing,1987,True,1
Disraeli,1929,False,2
Disraeli,1929,True,1
Divorce Italian Style,1962,False,2
Divorce Italian Style,1962,True,1
Django Unchained,2012,False,3
Django Unchained,2012,True,2
Doctor Dolittle,1967,False,7
Doctor Dolittle,1967,True,2
Doctor Zhivago,1965,False,5
Doctor Zhivago,1965,True,5
Dodsworth,1936,False,6
Dodsworth,1936,True,1
Dog Day Afternoon,1975,False,5
Dog Day Afternoon,1975,True,1
Don't,1974,False,0
Don't,1974,True,1
Down and Out in America,1986,False,0
Down and Out in America,1986,True,1
Dr. Jekyll and Mr. Hyde,1931,False,2
Dr. Jekyll and Mr. Hyde,1931,True,1
Dreamgirls,2006,False,6
Dreamgirls,2006,True,2
Drive My Car,2021,False,3
Drive My Car,2021,True,1
Driving Miss Daisy,1989,False,5
Driving Miss Daisy,1989,True,4
Dumbo,1941,False,1
Dumbo,1941,True,1
Dune,2021,False,4
Dune,2021,True,6
Dunkirk,2017,False,5
Dunkirk,2017,True,3
Dylan Thomas,1962,False,0
Dylan Thomas,1962,True,1
E.T.: The Extra-Terrestrial,1982,False,5
E.T.: The Extra-Terrestrial,1982,True,4
Earthquake,1974,False,3
Earthquake,1974,True,1
East of Eden,1955,False,3
East of Eden,1955,True,1
Easter Parade,1948,False,0
Easter Parade,1948,True,1
Ed Wood,1994,False,0
Ed Wood,1994,True,2
Educating Peter,1992,False,0
Educating Peter,1992,True,1
Election Night,1998,False,0
Election Night,1998,True,1
Elizabeth,1998,False,6
Elizabeth,1998,True,1
Elizabeth: The Golden Age,2007,False,1
Elizabeth: The Golden Age,2007,True,1
Elmer Gantry,1960,False,2
Elmer Gantry,1960,True,3
Emma,1996,False,1
Emma,1996,True,1
Encanto,2021,False,2
Encanto,2021,True,1
Erin Brockovich,2000,False,4
Erin Brockovich,2000,True,1
Eskimo,1934,False,0
Eskimo,1934,True,1
Eternal Sunshine of the Spotless Mind,2004,False,1
Eternal Sunshine of the Spotless Mind,2004,True,1
Every Child,1979,False,0
Every Child,1979,True,1
Everything Everywhere All at Once,2022,False,4
Everything Everywhere All at Once,2022,True,7
Evita,1996,False,4
Evita,1996,True,1
Ex Machina,2015,False,1
Ex Machina,2015,True,1
Exodus,1960,False,2
Exodus,1960,True,1
Facing Your Danger,1946,False,0
Facing Your Danger,1946,True,1
Fame,1980,False,4
Fame,1980,True,2
Fanny & Alexander,1983,False,2
Fanny & Alexander,1983,True,4
Fantastic Beasts and Where to Find Them,2016,False,1
Fantastic Beasts and Where to Find Them,2016,True,1
Fantastic Voyage,1966,False,3
Fantastic Voyage,1966,True,2
Fargo,1996,False,5
Fargo,1996,True,2
Father Goose,1964,False,2
Father Goose,1964,True,1
Father and Daughter,2000,False,0
Father and Daughter,2000,True,1
Feast,2014,False,0
